AC,Chalastra aristarcha
D,Chalastra ochre
ABCDE,Chalastra pellurgata 
ABCDEF,Cleora scriptaria 
ABC,Declana atronivea
FH,Declana egregia 
BCH,Declana feredayi 
ABCDEFGH,Declana floccosa
BEFGH,Declana griseata 
ABCE,Declana hermione 
ABCDEFGH,Declana junctilinea 
ABCDEFGH,Declana leptomera 
DFH,Declana niveata
C,Declana toreuta
C,Declana sp. A
ABDEF,Gellonia dejectaria 
ABCDEF,Gellonia pannularia 
BCDEFH,Ischalis fortinata 
ABCDE,Ischalis gallaria 
ABCDE,Ischalis nelsonaria 
ABCDE,Ischalis variabilis 
G,Pseudocoremia cineracia 
FG,Pseudocoremia colpogramma 
BCDH,Pseudocoremia fascialata
ABCD,Pseudocoremia fenerata
C,Pseudocoremia foxi
ABCDEF,Pseudocoremia indistincta 
ABCDEFH,Pseudocoremia leucelaea 
H,Pseudocoremia lupinata 
G,Pseudocoremia melinata 
ACDE,Pseudocoremia monacha 
ABCDEFG,Pseudocoremia productata 
ABCDEF,Pseudocoremia suavis 
ABDH,Pseudocoremia rudisata 
ABCDEFG,Sarisa muriferata 
ABCDE,Sestra flexata 
ABCG,Sestra humeraria 
FG,Zermizinga indocilisaria
AFG,Anachloris subochraria 
FGH,Asaphodes abrogata 
EG,Asaphodes adonis 
BDEFH,Asaphodes aegrota 
ABDEF,Asaphodes beata 
E,Asaphodes camelias 
ABCDFGH,Asaphodes chlamydota 
G,Asaphodes clarata 
B,Asaphodes limonodes
H,Asaphodes oraria
CDE,Asaphodes philpotti
CE,Asaphodes prasinias 
G,Asaphodes recta 
H,Asaphodes stephanitis 
ADEF,Austrocidaria bipartita 
DEF,Austrocidaria callichlora 
H,Austrocidaria cedrinodes 
ABCDEFGH,Austrocidaria gobiata 
ADEF,Austrocidaria parora 
ABCDEFH,Austrocidaria similata 
ABCDEFG,Chloroclystis filata 
ABDE,Flvia glaucata 
BDEFGH,Epicyme rubropunctaria 
BCG,Epiphryne charidema 
ABCDEFGH,Epiphryne undosata 
ABDEFH,Epiphryne verriculata 
ADEFG,Epyaxa lucidata 
ABDEFGH,Epyaxa rosearia 
ABDEF,Epyaxa venipunctata 
G,Helastia christinae 
ABDEFGH,Helastia cinerearia 
EFGH,Helastia corcularia 
G,Helastia cryptica 
ABCDE,Helastia cymozeucta 
ABCD,Helastia mutabilis
ABD,Helastia semisignata
G,Helastia triphragma 
H,Homodotis falcata 
ABCDEFG,Homodotis megaspilata 
G,Horisme suppressaria
D,Hydriomena' arida
ABCDEFGH,Hydriomena deltoidata 
CH,Hydriomena hemizona 
DF,Hydriomena purpurifera 
ABDEFGH,Hydriomena rixata 
AH,Microdes epicryptis 
AE,Microdes quadristrigata 
G,Orthoclydon chlorias 
AEFH,Orthoclydon praefectata 
CE,Paradetis porphyrias 
ADEF,Pasiphila bilineolata
CD,Pasiphila dryas
CH,Pasiphila humilis 
ABCDEFGH,Pasiphila inductata 
CE,Pasiphila lichenodes 
E,Pasiphila melochlora 
ACDF,Pasiphila lunata
D,Pasiphila malachita
AD,Pasiphila melochlora
DEH,Pasiphila muscosata 
H,Pasiphila nereis 
ABDE,Pasiphila plinthina 
B,Pasiphila rivalis
CDFGH,Pasiphila sandycias 
ABCD,Pasiphila semochlora
ADE,Pasiphila sphragitis 
G,Pasiphila sp. A
ABDEFH,Pasiphila testulata 
ADF,Phrissogonus laticostatus 
ABCDEG,Poecilasthena pulchraria
ABCDEFG,Poecilasthena schistaria
A,Poecilasthena subpurpureata
G,Tatosoma agrionata 
ABC,Tatosoma alta
C,Tatosoma apicipallida
C,Tatosoma fasciata
AE,Tatosoma lestevata 
ACEFH,Tatosoma tipulata 
AD,Tatosoma topea
AE,Tatosoma transitaria 
CEGH,Xanthorhoe occulta 
G,Xanthorhoe orophyla 
DEFGH,Xanthorhoe semifissata 
H,Adeixis griseata 
FG,Dichromodes sphaeriata 
G,Dichromodes sp. A
G,Theoxena scissaria 
G,Theoxena sp. A
BCDE,Xyridacma alectoraria 
ADEFH,Xyridacma ustaria 
CDEFH,Xyridacma veronicae 
ABDFG,Scopula rubraria
